Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18569078,"Hope's End (Powder Mage, #0.4)",Brian  McClellan,"McClellan, Brian",,"=""""","=""""",4,3.97,Brian McClellan,Kindle Edition,30,2013,2013,,2014/10/29,,,read,,,,1,,,0,,,,,
22493195,"Servant of the Crown (Powder Mage, #0.2)",Brian  McClellan,"McClellan, Brian",,"=""""","=""""",5,4.26,,Kindle Edition,77,2014,2014,,2014/10/29,,,read,,,,1,,,0,,,,,
8680418,"Moon Over Soho (Peter Grant, #2)",Ben Aaronovitch,"Aaronovitch, Ben",,"=""0345524594""","=""9780345524591""",3,4.09,Random House Ballantine ,Paperback,289,2011,2011,2015/02/09,2015/01/26,,,read,,,,1,,,0,,,,,
8680417,"Midnight Riot (Peter Grant, #1)",Ben Aaronovitch,"Aaronovitch, Ben",,"=""""","=""""",3,3.87,Del Rey,Mass Market Paperback,298,2011,2011,,2013/08/20,,,read,,,,1,,,0,,,,,
15704459,"Firefight (The Reckoners, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743580""","=""9780385743587""",5,4.26,Delacorte Press,Hardcover,416,2015,2015,2015/01/15,2014/07/16,,,read,,,,1,,,0,,,,,
18476102,"Lines of Departure (Frontlines, #2)",Marko Kloos,"Kloos, Marko",,"=""1477817409""","=""9781477817407""",4,4.14,47North,Paperback,315,2014,2014,2015/01/10,2014/09/04,,,read,,,,1,,,0,,,,,
18730784,"Measures of Absolution (Frontlines, #2.2)",Marko Kloos,"Kloos, Marko",,"=""""","=""""",0,3.90,Frostbite Publishing,Kindle Edition,63,2013,2013,,2015/01/08,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
17880298,"Lucky Thirteen (Frontlines, #2.1)",Marko Kloos,"Kloos, Marko",,"=""""","=""""",0,4.11,Frostbite Publishing,ebook,14,2013,2013,,2015/01/08,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
20174424,"City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""080413717X""","=""9780804137171""",0,4.07,Broadway Books,Paperback,452,2014,2014,,2015/01/07,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
18079705,"The Flight of the Silvers (Silvers, #1)",Daniel Price,"Price, Daniel",,"=""0399164987""","=""9780399164989""",0,3.90,Blue Rider Press,Hardcover,608,2014,2014,,2015/01/06,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
21535271,"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,"=""0756410436""","=""9780756410438""",0,3.89,DAW Books,Hardcover,159,2014,2014,,2014/12/29,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
